i,j,price,amplitude,lower_bound,upper_bound
INFLOW.2011-02-28 00:00:00,stor_Shasta.2011-02-28 00:00:00,0.0,1.0,653.838913867,653.838913867
stor_Shasta.2011-02-28 00:00:00,stor_Shasta.2011-03-31 00:00:00,803.979504335,0.999171932,662.0238805,5614.932874
stor_Shasta.2011-02-28 00:00:00,flow_Shasta.2011-02-28 00:00:00,6539.519212,1.0,0.0,4106.65280227
stor_Shasta.2011-02-28 00:00:00,spill_Shasta.2011-02-28 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_Shasta.2011-02-28 00:00:00,flow_Shasta.2011-02-28 00:00:00,0.0,1.0,0.0,10000000000.0
flow_Shasta.2011-02-28 00:00:00,stor_Keswick.2011-02-28 00:00:00,0.0,1.0,0.0,10000000000.0
INFLOW.2011-02-28 00:00:00,stor_Keswick.2011-02-28 00:00:00,0.0,1.0,0.0,0.0
stor_Keswick.2011-02-28 00:00:00,stor_Keswick.2011-03-31 00:00:00,58636.207228,1.0,0.0,29.35686722
stor_Keswick.2011-02-28 00:00:00,flow_Keswick.2011-02-28 00:00:00,780.125784864,1.0,0.0,4414.56122045
stor_Keswick.2011-02-28 00:00:00,spill_Keswick.2011-02-28 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_Keswick.2011-02-28 00:00:00,flow_Keswick.2011-02-28 00:00:00,0.0,1.0,0.0,10000000000.0
flow_Keswick.2011-02-28 00:00:00,DELTA.2011-02-28 00:00:00,0.0,1.0,0.0,10000000000.0
INFLOW.2011-02-28 00:00:00,stor_Folsom.2011-02-28 00:00:00,0.0,1.0,370.756794076,370.756794076
stor_Folsom.2011-02-28 00:00:00,stor_Folsom.2011-03-31 00:00:00,1438.38847498,0.998749063,111.013367,1202.644809
stor_Folsom.2011-02-28 00:00:00,flow_Folsom.2011-02-28 00:00:00,4459.76539585,1.0,0.0,2874.3837863
stor_Folsom.2011-02-28 00:00:00,spill_Folsom.2011-02-28 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_Folsom.2011-02-28 00:00:00,flow_Folsom.2011-02-28 00:00:00,0.0,1.0,0.0,10000000000.0
flow_Folsom.2011-02-28 00:00:00,stor_Nimbus.2011-02-28 00:00:00,0.0,1.0,0.0,10000000000.0
INFLOW.2011-02-28 00:00:00,stor_Nimbus.2011-02-28 00:00:00,0.0,1.0,0.0,0.0
stor_Nimbus.2011-02-28 00:00:00,stor_Nimbus.2011-03-31 00:00:00,43094.44212,1.0,0.0,10.85464056
stor_Nimbus.2011-02-28 00:00:00,flow_Nimbus.2011-02-28 00:00:00,366.031901253,1.0,0.0,2881.62115834
stor_Nimbus.2011-02-28 00:00:00,spill_Nimbus.2011-02-28 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_Nimbus.2011-02-28 00:00:00,flow_Nimbus.2011-02-28 00:00:00,0.0,1.0,0.0,10000000000.0
flow_Nimbus.2011-02-28 00:00:00,DELTA.2011-02-28 00:00:00,0.0,1.0,0.0,10000000000.0
INFLOW.2011-02-28 00:00:00,stor_New Melones.2011-02-28 00:00:00,0.0,1.0,143.504764469,143.504764469
stor_New Melones.2011-02-28 00:00:00,stor_New Melones.2011-03-31 00:00:00,346.250702863,0.999321932,98.67854843,2985.02609
stor_New Melones.2011-02-28 00:00:00,flow_New Melones.2011-02-28 00:00:00,7163.18490943,1.0,0.0,581.376673152
stor_New Melones.2011-02-28 00:00:00,spill_New Melones.2011-02-28 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_New Melones.2011-02-28 00:00:00,flow_New Melones.2011-02-28 00:00:00,0.0,1.0,0.0,10000000000.0
flow_New Melones.2011-02-28 00:00:00,DELTA.2011-02-28 00:00:00,0.0,1.0,0.0,10000000000.0
INFLOW.2011-02-28 00:00:00,stor_Pine Flat.2011-02-28 00:00:00,0.0,1.0,151.406985153,151.406985153
stor_Pine Flat.2011-02-28 00:00:00,stor_Pine Flat.2011-03-31 00:00:00,504.729543061,0.999282708,148.0178226,1233.481855
stor_Pine Flat.2011-02-28 00:00:00,flow_Pine Flat.2011-02-28 00:00:00,4536.88139828,1.0,0.0,588.646084637
stor_Pine Flat.2011-02-28 00:00:00,spill_Pine Flat.2011-02-28 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_Pine Flat.2011-02-28 00:00:00,flow_Pine Flat.2011-02-28 00:00:00,0.0,1.0,0.0,10000000000.0
flow_Pine Flat.2011-02-28 00:00:00,DELTA.2011-02-28 00:00:00,0.0,1.0,0.0,10000000000.0
SUPERSOURCE,INFLOW.2011-03-31 00:00:00,0.0,1.0,0.0,10000000000.0
DELTA.2011-03-31 00:00:00,SUPERSINK,0.0,1.0,0.0,10000000000.0
INFLOW.2011-03-31 00:00:00,stor_Shasta.2011-03-31 00:00:00,0.0,1.0,1769.56707827,1769.56707827
stor_Shasta.2011-03-31 00:00:00,stor_Shasta.2011-04-30 00:00:00,719.194037033,0.999171932,662.0238805,5614.932874
stor_Shasta.2011-03-31 00:00:00,flow_Shasta.2011-03-31 00:00:00,5849.87948258,1.0,0.0,4106.65280227
stor_Shasta.2011-03-31 00:00:00,spill_Shasta.2011-03-31 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_Shasta.2011-03-31 00:00:00,flow_Shasta.2011-03-31 00:00:00,0.0,1.0,0.0,10000000000.0
flow_Shasta.2011-03-31 00:00:00,stor_Keswick.2011-03-31 00:00:00,0.0,1.0,0.0,10000000000.0
INFLOW.2011-03-31 00:00:00,stor_Keswick.2011-03-31 00:00:00,0.0,1.0,0.0,0.0
stor_Keswick.2011-03-31 00:00:00,stor_Keswick.2011-04-30 00:00:00,52452.5948473,1.0,0.0,29.35686722
stor_Keswick.2011-03-31 00:00:00,flow_Keswick.2011-03-31 00:00:00,697.855859426,1.0,0.0,4414.56122045
stor_Keswick.2011-03-31 00:00:00,spill_Keswick.2011-03-31 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_Keswick.2011-03-31 00:00:00,flow_Keswick.2011-03-31 00:00:00,0.0,1.0,0.0,10000000000.0
flow_Keswick.2011-03-31 00:00:00,DELTA.2011-03-31 00:00:00,0.0,1.0,0.0,10000000000.0
INFLOW.2011-03-31 00:00:00,stor_Folsom.2011-03-31 00:00:00,0.0,1.0,1032.65150902,1032.65150902
stor_Folsom.2011-03-31 00:00:00,stor_Folsom.2011-04-30 00:00:00,1286.69995509,0.998749063,111.013367,1202.644809
stor_Folsom.2011-03-31 00:00:00,flow_Folsom.2011-03-31 00:00:00,3989.45080436,1.0,0.0,2874.3837863
stor_Folsom.2011-03-31 00:00:00,spill_Folsom.2011-03-31 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_Folsom.2011-03-31 00:00:00,flow_Folsom.2011-03-31 00:00:00,0.0,1.0,0.0,10000000000.0
flow_Folsom.2011-03-31 00:00:00,stor_Nimbus.2011-03-31 00:00:00,0.0,1.0,0.0,10000000000.0
INFLOW.2011-03-31 00:00:00,stor_Nimbus.2011-03-31 00:00:00,0.0,1.0,0.0,0.0
stor_Nimbus.2011-03-31 00:00:00,stor_Nimbus.2011-04-30 00:00:00,38549.8209957,1.0,0.0,10.85464056
stor_Nimbus.2011-03-31 00:00:00,flow_Nimbus.2011-03-31 00:00:00,327.43118003,1.0,0.0,2881.62115834
stor_Nimbus.2011-03-31 00:00:00,spill_Nimbus.2011-03-31 00:00:00,-1000.0,1.0,0.0,10000000000.0
spill_Nimbus.2011-03-31 00:00:00,flow_Nimbus.2011-03-31 00:00:00,0.0,1.0,0.0,10000000000.0
flow_Nimbus.2011-03-31 00:00:00,DELTA.2011-03-31 00:00:00,0.0,1.0,0.0,10000000000.0
INFLOW.2011-03-31 00:00:00,stor_New Melones.2011-03-31 00:00:00,0.0,1.0,330.746633634,330.746633634
stor_New Melones.2011-03-31 00:00:00,stor_New Melones.2011-04-30 00:00:00,309.736059325,0.999321932,98.67854843,2985.02609
stor_New Melones.2011-03-31 00:00:00,flow_New Melones.2011-03-31 00:00:00,6407.77511249,1.0,0.0,581.376673152
