i,j,a3,a2,a1,c,efficiency,price,amplitude,lower_bound,upper_bound,warmstart
spill_Folsom.2010-12-31 00:00:00,flow_Folsom.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,-9.99983968127e-09
flow_Folsom.2010-12-31 00:00:00,stor_Nimbus.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,297.909908652
INFLOW.2010-12-31 00:00:00,stor_Nimbus.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.99727051779e-09
stor_Nimbus.2010-12-31 00:00:00,stor_Nimbus.2011-01-31 00:00:00,0.009269121,-0.253804847,2.705583428,1.427740357,0.783712755,0.0,1.0,0.0,10.85464056,10.8546406685
stor_Nimbus.2010-12-31 00:00:00,flow_Nimbus.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,30.4331774342,1.0,0.0,2881.62115834,297.909908672
stor_Nimbus.2010-12-31 00:00:00,spill_Nimbus.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,-1000.0,1.0,0.0,10000000000.0,-9.99983970387e-09
spill_Nimbus.2010-12-31 00:00:00,flow_Nimbus.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,-9.99983969091e-09
flow_Nimbus.2010-12-31 00:00:00,DELTA.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,297.909908662
INFLOW.2010-12-31 00:00:00,stor_New Melones.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,214.632551181,214.632551181,214.632553327
stor_New Melones.2010-12-31 00:00:00,stor_New Melones.2011-01-31 00:00:00,4.33e-09,-2.87e-05,0.086684534,63.03293576,0.897566109,0.0,0.999321932,98.67854843,2985.02609,1853.10730381
stor_New Melones.2010-12-31 00:00:00,flow_New Melones.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,30.4331774342,1.0,0.0,581.376673152,1.05704645667e-11
stor_New Melones.2010-12-31 00:00:00,spill_New Melones.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,-1000.0,1.0,0.0,10000000000.0,-9.99982769201e-09
spill_New Melones.2010-12-31 00:00:00,flow_New Melones.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,-9.99981555605e-09
flow_New Melones.2010-12-31 00:00:00,DELTA.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,-9.98920894241e-09
INFLOW.2010-12-31 00:00:00,stor_Pine Flat.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,362.09940105,362.09940105,362.099404671
stor_Pine Flat.2010-12-31 00:00:00,stor_Pine Flat.2011-01-31 00:00:00,4.72e-08,-0.000125362,0.158366502,28.03055038,0.87,0.0,0.999282708,148.0178226,1233.481855,1233.48186733
stor_Pine Flat.2010-12-31 00:00:00,flow_Pine Flat.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,30.4331774342,1.0,0.0,588.646084637,48.0801113261
stor_Pine Flat.2010-12-31 00:00:00,spill_Pine Flat.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,-1000.0,1.0,0.0,10000000000.0,-9.99983971389e-09
spill_Pine Flat.2010-12-31 00:00:00,flow_Pine Flat.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,-9.99983968086e-09
flow_Pine Flat.2010-12-31 00:00:00,DELTA.2010-12-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,48.0801113161
SUPERSOURCE,INFLOW.2011-01-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,1305.03341816
DELTA.2011-01-31 00:00:00,SUPERSINK,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,2638.22593158
INFLOW.2011-01-31 00:00:00,stor_Shasta.2011-01-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,551.018837486,551.018837486,551.018842996
stor_Shasta.2011-01-31 00:00:00,stor_Shasta.2011-02-28 00:00:00,3.97e-10,-5.47e-06,0.034370904,55.56257157,0.916266447,0.0,0.999171932,662.0238805,5614.932874,662.02387388
stor_Shasta.2011-01-31 00:00:00,flow_Shasta.2011-01-31 00:00:00,0.0,0.0,0.0,0.0,1.0,29.0157031803,1.0,0.0,4106.65280227,1065.51660201
stor_Shasta.2011-01-31 00:00:00,spill_Shasta.2011-01-31 00:00:00,0.0,0.0,0.0,0.0,1.0,-1000.0,1.0,0.0,10000000000.0,-9.99983946977e-09
spill_Shasta.2011-01-31 00:00:00,flow_Shasta.2011-01-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,-9.99983948337e-09
flow_Shasta.2011-01-31 00:00:00,stor_Keswick.2011-01-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10000000000.0,1065.516602
INFLOW.2011-01-31 00:00:00,stor_Keswick.2011-01-31 00:00:00,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,9.99713798814e-09
stor_Keswick.2011-01-31 00:00:00,stor_Keswick.2011-02-28 00:00:00,0.001617646,-0.112485446,2.88127658,0.214664334,0.771623853,0.0,1.0,0.0,29.35686722,29.3568675136
