link,value
"('stor_Folsom.2014-03-31 00:00:00', 'stor_Folsom.2014-04-30 00:00:00')",1202.644809
"('stor_Nimbus.2014-03-31 00:00:00', 'stor_Nimbus.2014-04-30 00:00:00')",10.85464056
"('stor_New Melones.2014-03-31 00:00:00', 'stor_New Melones.2014-04-30 00:00:00')",2511.6741831
"('stor_Pine Flat.2014-03-31 00:00:00', 'stor_Pine Flat.2014-04-30 00:00:00')",857.648353491
"('stor_Shasta.2014-04-30 00:00:00', 'stor_Shasta.2014-05-31 00:00:00')",5140.75115883
"('stor_Keswick.2014-04-30 00:00:00', 'stor_Keswick.2014-05-31 00:00:00')",29.35686722
"('stor_Folsom.2014-04-30 00:00:00', 'stor_Folsom.2014-05-31 00:00:00')",1202.644809
"('stor_Nimbus.2014-04-30 00:00:00', 'stor_Nimbus.2014-05-31 00:00:00')",10.85464056
"('stor_New Melones.2014-04-30 00:00:00', 'stor_New Melones.2014-05-31 00:00:00')",2571.49212704
"('stor_Pine Flat.2014-04-30 00:00:00', 'stor_Pine Flat.2014-05-31 00:00:00')",978.589449251
"('stor_Shasta.2014-05-31 00:00:00', 'stor_Shasta.2014-06-30 00:00:00')",5395.86936364
