link,value
"('flow_Keswick.2011-02-28 00:00:00', 'DELTA.2011-02-28 00:00:00')",5.53187379882e-11
"('INFLOW.2011-02-28 00:00:00', 'stor_Folsom.2011-02-28 00:00:00')",370.756797784
"('stor_Folsom.2011-02-28 00:00:00', 'flow_Folsom.2011-02-28 00:00:00')",198.599082472
"('stor_Folsom.2011-02-28 00:00:00', 'spill_Folsom.2011-02-28 00:00:00')",-9.99983892307e-09
"('spill_Folsom.2011-02-28 00:00:00', 'flow_Folsom.2011-02-28 00:00:00')",-9.9998388549e-09
"('flow_Folsom.2011-02-28 00:00:00', 'stor_Nimbus.2011-02-28 00:00:00')",198.599082462
"('INFLOW.2011-02-28 00:00:00', 'stor_Nimbus.2011-02-28 00:00:00')",9.99671535099e-09
"('stor_Nimbus.2011-02-28 00:00:00', 'flow_Nimbus.2011-02-28 00:00:00')",198.599082482
"('stor_Nimbus.2011-02-28 00:00:00', 'spill_Nimbus.2011-02-28 00:00:00')",-9.99983887906e-09
"('spill_Nimbus.2011-02-28 00:00:00', 'flow_Nimbus.2011-02-28 00:00:00')",-9.99983889903e-09
"('flow_Nimbus.2011-02-28 00:00:00', 'DELTA.2011-02-28 00:00:00')",198.599082472
"('INFLOW.2011-02-28 00:00:00', 'stor_New Melones.2011-02-28 00:00:00')",143.504765904
"('stor_New Melones.2011-02-28 00:00:00', 'flow_New Melones.2011-02-28 00:00:00')",1.171852094e-11
"('stor_New Melones.2011-02-28 00:00:00', 'spill_New Melones.2011-02-28 00:00:00')",-9.99982673946e-09
"('spill_New Melones.2011-02-28 00:00:00', 'flow_New Melones.2011-02-28 00:00:00')",-9.99981449123e-09
"('flow_New Melones.2011-02-28 00:00:00', 'DELTA.2011-02-28 00:00:00')",-9.98805942042e-09
"('INFLOW.2011-02-28 00:00:00', 'stor_Pine Flat.2011-02-28 00:00:00')",151.406986667
"('stor_Pine Flat.2011-02-28 00:00:00', 'flow_Pine Flat.2011-02-28 00:00:00')",150.52158491
"('stor_Pine Flat.2011-02-28 00:00:00', 'spill_Pine Flat.2011-02-28 00:00:00')",-9.99983889091e-09
"('spill_Pine Flat.2011-02-28 00:00:00', 'flow_Pine Flat.2011-02-28 00:00:00')",-9.99983888718e-09
"('flow_Pine Flat.2011-02-28 00:00:00', 'DELTA.2011-02-28 00:00:00')",150.5215849
"('SUPERSOURCE', 'INFLOW.2011-03-31 00:00:00')",3418.48358498
"('DELTA.2011-03-31 00:00:00', 'SUPERSINK')",721.17063867
"('INFLOW.2011-03-31 00:00:00', 'stor_Shasta.2011-03-31 00:00:00')",1769.56709597
"('stor_Shasta.2011-03-31 00:00:00', 'flow_Shasta.2011-03-31 00:00:00')",2.02033030615e-11
"('stor_Shasta.2011-03-31 00:00:00', 'spill_Shasta.2011-03-31 00:00:00')",-9.99982476014e-09
"('spill_Shasta.2011-03-31 00:00:00', 'flow_Shasta.2011-03-31 00:00:00')",-9.99981093628e-09
"('flow_Shasta.2011-03-31 00:00:00', 'stor_Keswick.2011-03-31 00:00:00')",-9.97956638859e-09
"('INFLOW.2011-03-31 00:00:00', 'stor_Keswick.2011-03-31 00:00:00')",9.9962716844e-09
"('stor_Keswick.2011-03-31 00:00:00', 'flow_Keswick.2011-03-31 00:00:00')",1.00163505774e-08
"('stor_Keswick.2011-03-31 00:00:00', 'spill_Keswick.2011-03-31 00:00:00')",-9.99981180109e-09
"('spill_Keswick.2011-03-31 00:00:00', 'flow_Keswick.2011-03-31 00:00:00')",-9.99984574154e-09
"('flow_Keswick.2011-03-31 00:00:00', 'DELTA.2011-03-31 00:00:00')",1.64638403303e-11
"('INFLOW.2011-03-31 00:00:00', 'stor_Folsom.2011-03-31 00:00:00')",1032.65151935
"('stor_Folsom.2011-03-31 00:00:00', 'flow_Folsom.2011-03-31 00:00:00')",228.585333088
"('stor_Folsom.2011-03-31 00:00:00', 'spill_Folsom.2011-03-31 00:00:00')",-9.99983850125e-09
"('spill_Folsom.2011-03-31 00:00:00', 'flow_Folsom.2011-03-31 00:00:00')",-9.99983843735e-09
"('flow_Folsom.2011-03-31 00:00:00', 'stor_Nimbus.2011-03-31 00:00:00')",228.585333078
"('INFLOW.2011-03-31 00:00:00', 'stor_Nimbus.2011-03-31 00:00:00')",9.99633010653e-09
"('stor_Nimbus.2011-03-31 00:00:00', 'flow_Nimbus.2011-03-31 00:00:00')",228.585333098
"('stor_Nimbus.2011-03-31 00:00:00', 'spill_Nimbus.2011-03-31 00:00:00')",-9.99983845991e-09
"('spill_Nimbus.2011-03-31 00:00:00', 'flow_Nimbus.2011-03-31 00:00:00')",-9.99983847869e-09
"('flow_Nimbus.2011-03-31 00:00:00', 'DELTA.2011-03-31 00:00:00')",228.585333088
"('INFLOW.2011-03-31 00:00:00', 'stor_New Melones.2011-03-31 00:00:00')",330.746636941
"('stor_New Melones.2011-03-31 00:00:00', 'flow_New Melones.2011-03-31 00:00:00')",1.20068069534e-11
"('stor_New Melones.2011-03-31 00:00:00', 'spill_New Melones.2011-03-31 00:00:00')",-9.99982628645e-09
"('spill_New Melones.2011-03-31 00:00:00', 'flow_New Melones.2011-03-31 00:00:00')",-9.99981400507e-09
"('flow_New Melones.2011-03-31 00:00:00', 'DELTA.2011-03-31 00:00:00')",-9.98777054856e-09
"('INFLOW.2011-03-31 00:00:00', 'stor_Pine Flat.2011-03-31 00:00:00')",285.518332702
"('stor_Pine Flat.2011-03-31 00:00:00', 'flow_Pine Flat.2011-03-31 00:00:00')",492.585305602
"('stor_Pine Flat.2011-03-31 00:00:00', 'spill_Pine Flat.2011-03-31 00:00:00')",-9.99983847142e-09
"('spill_Pine Flat.2011-03-31 00:00:00', 'flow_Pine Flat.2011-03-31 00:00:00')",-9.99983846719e-09
"('flow_Pine Flat.2011-03-31 00:00:00', 'DELTA.2011-03-31 00:00:00')",492.585305592
"('SUPERSOURCE', 'INFLOW.2011-04-30 00:00:00')",2669.51547483
