link,value
"('stor_Folsom.2013-11-30 00:00:00', 'stor_Folsom.2013-12-31 00:00:00')",1202.64482103
"('stor_Nimbus.2013-11-30 00:00:00', 'stor_Nimbus.2013-12-31 00:00:00')",10.8546406685
"('stor_New Melones.2013-11-30 00:00:00', 'stor_New Melones.2013-12-31 00:00:00')",2985.02611985
"('stor_Pine Flat.2013-11-30 00:00:00', 'stor_Pine Flat.2013-12-31 00:00:00')",1233.48186733
"('stor_Shasta.2013-12-31 00:00:00', 'stor_Shasta.2014-01-31 00:00:00')",4554.95393506
"('stor_Keswick.2013-12-31 00:00:00', 'stor_Keswick.2014-01-31 00:00:00')",29.3568675136
"('stor_Folsom.2013-12-31 00:00:00', 'stor_Folsom.2014-01-31 00:00:00')",1171.82250252
"('stor_Nimbus.2013-12-31 00:00:00', 'stor_Nimbus.2014-01-31 00:00:00')",10.8546406685
"('stor_New Melones.2013-12-31 00:00:00', 'stor_New Melones.2014-01-31 00:00:00')",2947.36256306
"('stor_Pine Flat.2013-12-31 00:00:00', 'stor_Pine Flat.2014-01-31 00:00:00')",1233.48186733
"('stor_Shasta.2014-01-31 00:00:00', 'stor_Shasta.2014-02-28 00:00:00')",4803.86270485
"('stor_Keswick.2014-01-31 00:00:00', 'stor_Keswick.2014-02-28 00:00:00')",29.3568675136
"('stor_Folsom.2014-01-31 00:00:00', 'stor_Folsom.2014-02-28 00:00:00')",1202.64482103
"('stor_Nimbus.2014-01-31 00:00:00', 'stor_Nimbus.2014-02-28 00:00:00')",10.8546406685
"('stor_New Melones.2014-01-31 00:00:00', 'stor_New Melones.2014-02-28 00:00:00')",2985.02611985
"('stor_Pine Flat.2014-01-31 00:00:00', 'stor_Pine Flat.2014-02-28 00:00:00')",1233.48186733
"('stor_Shasta.2014-02-28 00:00:00', 'stor_Shasta.2014-03-31 00:00:00')",1096.8737316
"('stor_Keswick.2014-02-28 00:00:00', 'stor_Keswick.2014-03-31 00:00:00')",29.3568675136
"('stor_Folsom.2014-02-28 00:00:00', 'stor_Folsom.2014-03-31 00:00:00')",111.01336589
"('stor_Nimbus.2014-02-28 00:00:00', 'stor_Nimbus.2014-03-31 00:00:00')",10.8546406685
"('stor_New Melones.2014-02-28 00:00:00', 'stor_New Melones.2014-03-31 00:00:00')",2766.70504834
"('stor_Pine Flat.2014-02-28 00:00:00', 'stor_Pine Flat.2014-03-31 00:00:00')",890.032857885
"('stor_Shasta.2014-03-31 00:00:00', 'stor_Shasta.2014-04-30 00:00:00')",1781.08533647
"('stor_Keswick.2014-03-31 00:00:00', 'stor_Keswick.2014-04-30 00:00:00')",29.3568675136
"('stor_Folsom.2014-03-31 00:00:00', 'stor_Folsom.2014-04-30 00:00:00')",313.300113416
"('stor_Nimbus.2014-03-31 00:00:00', 'stor_Nimbus.2014-04-30 00:00:00')",10.8546406685
"('stor_New Melones.2014-03-31 00:00:00', 'stor_New Melones.2014-04-30 00:00:00')",2819.81412545
"('stor_Pine Flat.2014-03-31 00:00:00', 'stor_Pine Flat.2014-04-30 00:00:00')",937.194237991
"('stor_Shasta.2014-04-30 00:00:00', 'stor_Shasta.2014-05-31 00:00:00')",2236.0993678
"('stor_Keswick.2014-04-30 00:00:00', 'stor_Keswick.2014-05-31 00:00:00')",29.3568675136
"('stor_Folsom.2014-04-30 00:00:00', 'stor_Folsom.2014-05-31 00:00:00')",511.35287693
"('stor_Nimbus.2014-04-30 00:00:00', 'stor_Nimbus.2014-05-31 00:00:00')",10.8546406685
